Load Date,Disposal Site,CYD,Proportion,Assigned Trucks
2022-12-02,Paige Field Airport DMS,6796,0.0984827626182851,24
2022-12-02,Pine Island DMS,11460,0.16607010882953904,40
2022-12-02,Wakehatchee Park DMS,13159,0.1906907994841103,46
2022-12-02,Wheeler Rd DMS ,1087,0.015752025156868143,4
2022-12-02,Wulfert Rd DMS,2386,0.03457620241424783,8
2022-12-03,AandW Bulb Rd DMS,2844,0.03993821092543182,9
2022-12-03,Bay Oaks DMS,222,0.0031175396713944673,1
2022-12-03,Civic Center DMS,15177,0.21313017834573797,49
2022-12-03,Domestic Rd DMS,11916,0.16733604830782192,39
2022-12-03,Lee Health Bonita Springs DMS,802,0.011262463137199832,3
2022-12-03,Lovers Key DMS,3293,0.04624350512568459,11
2022-12-03,Paige Field Airport DMS,8393,0.11786265973880072,27
2022-12-03,Pine Island DMS,12822,0.18005898048026964,42
2022-12-03,Wakehatchee Park DMS,11936,0.1676169077376773,39
2022-12-03,Wheeler Rd DMS ,1152,0.016177503159668587,4
2022-12-03,Wulfert Rd DMS,2653,0.03725600337031316,9
2022-12-04,AandW Bulb Rd DMS,2297,0.03197516600080738,8
2022-12-04,Civic Center DMS,15762,0.21941339421189637,52
2022-12-04,Domestic Rd DMS,12426,0.1729749293539541,41
2022-12-04,Lee Health Bonita Springs DMS,836,0.011637457020755321,3
2022-12-04,Lovers Key DMS,3547,0.049375669919400865,12
2022-12-04,Paige Field Airport DMS,8592,0.11960410373484416,28
2022-12-04,Pine Island DMS,12208,0.16994028147055137,40
2022-12-04,Wakehatchee Park DMS,12194,0.16974539582666315,40
2022-12-04,Wheeler Rd DMS ,1754,0.024416387098570375,6
2022-12-04,Wulfert Rd DMS,2221,0.0309172153625569,7
2022-12-05,AandW Bulb Rd DMS,3843,0.05335721426191269,13
2022-12-05,Bay Oaks DMS,424,0.005886926580028879,1
