osmid,x,y,total_CYD,geometry
5764153773,-81.9015149,26.4139736,0.6070305236043225,POINT (-81.9015149 26.4139736)
5764153790,-81.9018126,26.4139075,54.70019496034506,POINT (-81.9018126 26.4139075)
5764153791,-81.9014704,26.414355,12.410401815910593,POINT (-81.9014704 26.414355)
5764153792,-81.9013995,26.4140977,0.6744783595603583,POINT (-81.9013995 26.4140977)
5764153794,-81.9004559,26.4141986,26.84423871050226,POINT (-81.9004559 26.4141986)
5764153844,-81.901247,26.4130711,14.029149878855453,POINT (-81.901247 26.4130711)
5764153845,-81.9015588,26.4129889,12.477849651866629,POINT (-81.9015588 26.4129889)
5764153846,-81.9011101,26.4131193,7.756501134944121,POINT (-81.9011101 26.4131193)
5764153847,-81.9001456,26.4133634,259.67416843073795,POINT (-81.9001456 26.4133634)
5764153848,-81.9006627,26.4132325,17.199198168789138,POINT (-81.9006627 26.4132325)
5764153849,-81.9009229,26.4141009,17.064302496877065,POINT (-81.9009229 26.4141009)
5764153870,-81.9007511,26.4142572,33.18433529036963,POINT (-81.9007511 26.4142572)
5764153871,-81.9008308,26.414501,13.691910699075274,POINT (-81.9008308 26.414501)
5766143306,-81.9015401,26.4128223,18.00857220026157,POINT (-81.9015401 26.4128223)
5766143309,-81.9012254,26.4128946,3.979422321406114,POINT (-81.9012254 26.4128946)
5766143310,-81.900805,26.4113473,43.23406284781897,POINT (-81.900805 26.4113473)
5766143313,-81.9008617,26.4115544,0.06744783595603583,POINT (-81.9008617 26.4115544)
5766143315,-81.8999605,26.4117618,24.348668780128936,POINT (-81.8999605 26.4117618)
5766143316,-81.8999532,26.4116682,31.70048289933684,POINT (-81.8999532 26.4116682)
5766143319,-81.9010345,26.4121888,0.06744783595603583,POINT (-81.9010345 26.4121888)
5766143320,-81.901144,26.4125939,10.386966737229518,POINT (-81.901144 26.4125939)
5766143329,-81.9003085,26.4129133,18.345811380041745,POINT (-81.9003085 26.4129133)
5766143330,-81.9011771,26.412716,136.1097329592803,POINT (-81.9011771 26.412716)
5766143331,-81.9011275,26.4125327,0.80937403147243,POINT (-81.9011275 26.4125327)
