Ticket #,Client,Disaster,Contractor,TDMS Project,Load Date,Debris Class,Load Latitude,Load Longitude,Disposal Date,Disposal Site,CYD,Total CYD
330012-22325-52287,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.4585511,-81.9418233,11/21/2022,Wakehatchee Park DMS,54,
330012-22333-38752,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,C and D,26.46237361,-81.94685167,11/29/2022,Wakehatchee Park DMS,58,
330012-22320-35542,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,C and D,26.4663004,-81.9557553,11/16/2022,Wakehatchee Park DMS,58,
330012-22333-54098,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/29/2022,C and D,26.46252031,-81.94773359,11/29/2022,Wakehatchee Park DMS,54,
330012-22321-50683,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,C and D,26.4662278,-81.9556235,11/17/2022,Wakehatchee Park DMS,58,
330012-22323-48444,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4583538,-81.9395147,11/19/2022,Wakehatchee Park DMS,50,
330013-22334-51265,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46307791,-81.95410368,11/30/2022,Wakehatchee Park DMS,61,
330012-22321-54669,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,C and D,26.4612407,-81.953812,11/17/2022,Wakehatchee Park DMS,62,
330012-22332-39337,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,C and D,26.4597536,-81.9418305,11/28/2022,Wakehatchee Park DMS,54,
330013-22334-46281,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46363566,-81.95408385,11/30/2022,Wakehatchee Park DMS,61,
330013-22334-27247,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46312074,-81.9540888,11/30/2022,Wakehatchee Park DMS,65,
330207-22324-50507,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,C and D,26.46699727,-81.9548381,11/20/2022,Wakehatchee Park DMS,52,
330012-22334-36032,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.45989386,-81.94145079,11/30/2022,Wakehatchee Park DMS,58,
330013-22334-60225,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.46520209,-81.95202198,11/30/2022,Wakehatchee Park DMS,61,
330009-22323-27588,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4581783,-81.9409375,11/19/2022,Wakehatchee Park DMS,63,
330009-22320-56795,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/16/2022,C and D,26.4664594,-81.9557672,11/16/2022,Wakehatchee Park DMS,55,
330206-22324-58982,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/20/2022,C and D,26.4670264,-81.9548984,11/20/2022,AandW Bulb Rd DMS,61,
330009-22323-43283,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.4594664,-81.9403937,11/19/2022,Wakehatchee Park DMS,59,
330009-22334-62750,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/30/2022,C and D,26.45980921,-81.94154634,11/30/2022,Wakehatchee Park DMS,59,
330009-22332-58772,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/28/2022,C and D,26.4642732,-81.9468416,11/28/2022,Wakehatchee Park DMS,59,
330009-22321-27535,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/17/2022,C and D,26.4613574,-81.9538251,11/17/2022,Wakehatchee Park DMS,59,
330206-22323-25648,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/19/2022,C and D,26.46153969,-81.95410539,11/19/2022,Wakehatchee Park DMS,61,
330206-22325-33350,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.4604748,-81.9537368,11/21/2022,Wakehatchee Park DMS,49,
330206-22325-24956,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/21/2022,C and D,26.46235472,-81.95378483,11/21/2022,Wakehatchee Park DMS,57,
