Ticket #,Client,Disaster,Contractor,TDMS Project,Load Date,Debris Class,Load Latitude,Load Longitude,Disposal Date,Disposal Site,CYD,Total CYD
749825-22310-39301,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/6/2022,Vegetation,26.6599035,-81.9142125,11/6/2022,Paige Field Airport DMS,48,
749825-22318-58979,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/14/2022,Vegetation,26.6620905,-81.9047375,11/14/2022,Paige Field Airport DMS,52,
749826-22307-61579,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/3/2022,Vegetation,26.6581551,-81.914993,11/3/2022,Paige Field Airport DMS,50,
749868-22307-58647,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/3/2022,Vegetation,26.6258632,-82.0382419,11/3/2022,Pine Island DMS,44,
749868-22315-31379,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/11/2022,Vegetation,26.6315885,-82.0338783,11/11/2022,Pine Island DMS,37,
749852-22310-57976,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/6/2022,Vegetation,26.6624055,-81.8990426,11/6/2022,Civic Center DMS,55,
749855-22312-41669,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/8/2022,Vegetation,26.6347289,-81.6767476,11/8/2022,SR 82 DMS,32,
749858-22312-51520,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/8/2022,Vegetation,26.6310517,-81.6703636,11/8/2022,Civic Center DMS,48,
749862-22307-63625,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/3/2022,Vegetation,26.6151497,-82.0317348,11/3/2022,Pine Island DMS,56,
749863-22307-37603,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/3/2022,Vegetation,26.615022,-82.0344323,11/3/2022,Pine Island DMS,56,
749863-22319-33867,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/15/2022,Vegetation,26.73662123,-81.90805572,11/15/2022,Paige Field Airport DMS,49,
749865-22307-57214,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/3/2022,Vegetation,26.633326,-82.0398492,11/3/2022,Pine Island DMS,49,
749860-22310-41816,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/6/2022,Vegetation,26.6642239,-82.1466515,11/6/2022,Pine Island DMS,68,
749737-22305-57633,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/1/2022,Vegetation,26.68569709,-81.87751186,11/1/2022,Paige Field Airport DMS,58,
749853-22307-28872,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/3/2022,C and D,26.70098049,-81.83649991,11/3/2022,Civic Center DMS,71,
749853-22309-57102,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/5/2022,C and D,26.69480347,-81.83367686,11/5/2022,Civic Center DMS,62,
749858-22315-44090,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/11/2022,Vegetation,26.633033,-81.6760548,11/11/2022,Paige Field Airport DMS,45,
749865-22314-49792,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/10/2022,Vegetation,26.619191,-82.0317319,11/10/2022,Pine Island DMS,46,
749866-22313-32978,Lee County FL,Hurricane Ian FL,Crowder Gulf,Lee Co FL Ian Debris,11/9/2022,Vegetation,26.6198394,-82.0316738,11/9/2022,Pine Island DMS,54,
